folder_id,task,interrupt,measure,accuracy
101,LD,rest,pre,0.9685534591194969
102,LD,rest,pre,0.9272727272727272
103,LD,rest,pre,0.9875
104,LD,rest,pre,0.99375
105,LD,rest,pre,0.9875
106,LD,rest,pre,0.975
107,LD,rest,pre,0.9937888198757764
108,LD,rest,pre,0.9875
109,LD,rest,pre,0.9627329192546584
110,LD,rest,pre,0.9556962025316456
111,LD,rest,pre,0.9936708860759493
112,LD,rest,pre,0.9875
113,LD,rest,pre,0.99375
114,LD,rest,pre,0.968944099378882
115,LD,rest,pre,0.9625
201,LD,tiktok,pre,0.99375
202,LD,tiktok,pre,0.96875
203,LD,tiktok,pre,0.99375
204,LD,tiktok,pre,0.9936305732484076
205,LD,tiktok,pre,0.99375
206,LD,tiktok,pre,0.9810126582278481
207,LD,tiktok,pre,0.99375
208,LD,tiktok,pre,0.9444444444444444
209,LD,tiktok,pre,0.9875
210,LD,tiktok,pre,0.9875
211,LD,tiktok,pre,0.9192546583850931
212,LD,tiktok,pre,0.99375
213,LD,tiktok,pre,0.9625
214,LD,tiktok,pre,0.9937106918238994
215,LD,tiktok,pre,0.9559748427672956
301,LD,youtube,pre,0.9559748427672956
302,LD,youtube,pre,0.9813664596273292
303,LD,youtube,pre,0.95
304,LD,youtube,pre,0.98125
305,LD,youtube,pre,0.98125
306,LD,youtube,pre,0.9875776397515528
307,LD,youtube,pre,0.99375
308,LD,youtube,pre,0.975
309,LD,youtube,pre,0.9875776397515528
310,LD,youtube,pre,0.012578616352201259
311,LD,youtube,pre,0.9875
312,LD,youtube,pre,0.9936708860759493
313,LD,youtube,pre,0.9874213836477987
314,LD,youtube,pre,0.9556962025316456
315,LD,youtube,pre,0.9625
401,LD,twitter,pre,0.9625
402,LD,twitter,pre,0.9875
403,LD,twitter,pre,0.99375
404,LD,twitter,pre,0.975
405,LD,twitter,pre,0.99375
406,LD,twitter,pre,0.99375
407,LD,twitter,pre,0.9875
408,LD,twitter,pre,0.99375
409,LD,twitter,pre,0.9937106918238994
410,LD,twitter,pre,0.9875
411,LD,twitter,pre,0.9937888198757764
412,LD,twitter,pre,1.0
413,LD,twitter,pre,1.0
414,LD,twitter,pre,0.98125
415,LD,twitter,pre,0.9875
101,LD,rest,post,0.99375
102,LD,rest,post,0.96875
103,LD,rest,post,0.9875
104,LD,rest,post,1.0
105,LD,rest,post,0.99375
106,LD,rest,post,0.9937106918238994
107,LD,rest,post,0.98125
108,LD,rest,post,0.9875
109,LD,rest,post,0.9685534591194969
110,LD,rest,post,0.9627329192546584
111,LD,rest,post,1.0
112,LD,rest,post,0.975
113,LD,rest,post,0.975
114,LD,rest,post,0.9503105590062112
115,LD,rest,post,0.948051948051948
201,LD,tiktok,post,0.9874213836477987
202,LD,tiktok,post,0.9875
203,LD,tiktok,post,0.98125
204,LD,tiktok,post,0.975
205,LD,tiktok,post,0.9811320754716981
206,LD,tiktok,post,0.9875
207,LD,tiktok,post,0.99375
208,LD,tiktok,post,0.96875
209,LD,tiktok,post,0.99375
210,LD,tiktok,post,1.0
211,LD,tiktok,post,0.9192546583850931
212,LD,tiktok,post,0.9875
213,LD,tiktok,post,0.9937106918238994
214,LD,tiktok,post,1.0
215,LD,tiktok,post,0.9554140127388535
301,LD,youtube,post,0.9285714285714286
302,LD,youtube,post,1.0
303,LD,youtube,post,0.9625
304,LD,youtube,post,1.0
305,LD,youtube,post,0.94375
306,LD,youtube,post,0.99375
307,LD,youtube,post,0.9875
308,LD,youtube,post,0.96875
309,LD,youtube,post,0.96875
310,LD,youtube,post,0.024844720496894408
311,LD,youtube,post,0.9875
312,LD,youtube,post,1.0
313,LD,youtube,post,1.0
314,LD,youtube,post,0.9102564102564102
315,LD,youtube,post,0.99375
401,LD,twitter,post,0.9874213836477987
402,LD,twitter,post,0.9875
403,LD,twitter,post,0.96875
404,LD,twitter,post,0.9625
405,LD,twitter,post,0.99375
406,LD,twitter,post,0.98125
407,LD,twitter,post,0.98125
408,LD,twitter,post,0.9875
409,LD,twitter,post,0.96875
410,LD,twitter,post,1.0
411,LD,twitter,post,0.975
412,LD,twitter,post,0.96875
413,LD,twitter,post,0.96875
414,LD,twitter,post,0.975
415,LD,twitter,post,0.9875
101,PM,rest,pre,0.9285714285714286
102,PM,rest,pre,0.875
103,PM,rest,pre,0.9285714285714286
104,PM,rest,pre,0.9285714285714286
105,PM,rest,pre,0.9285714285714286
106,PM,rest,pre,0.9285714285714286
107,PM,rest,pre,0.9166666666666666
108,PM,rest,pre,0.9285714285714286
109,PM,rest,pre,0.9230769230769231
110,PM,rest,pre,0.9090909090909091
111,PM,rest,pre,0.9285714285714286
112,PM,rest,pre,0.9285714285714286
113,PM,rest,pre,0.9285714285714286
114,PM,rest,pre,0.46153846153846156
115,PM,rest,pre,1.0
201,PM,tiktok,pre,0.8571428571428571
202,PM,tiktok,pre,0.7142857142857143
203,PM,tiktok,pre,0.9285714285714286
204,PM,tiktok,pre,0.9285714285714286
205,PM,tiktok,pre,0.9285714285714286
206,PM,tiktok,pre,0.35714285714285715
207,PM,tiktok,pre,0.9285714285714286
208,PM,tiktok,pre,0.9166666666666666
209,PM,tiktok,pre,0.9285714285714286
210,PM,tiktok,pre,0.9285714285714286
211,PM,tiktok,pre,0.8333333333333334
212,PM,tiktok,pre,0.8571428571428571
213,PM,tiktok,pre,0.7692307692307693
214,PM,tiktok,pre,0.35714285714285715
215,PM,tiktok,pre,0.7857142857142857
301,PM,youtube,pre,0.8461538461538461
302,PM,youtube,pre,0.75
303,PM,youtube,pre,0.8461538461538461
304,PM,youtube,pre,0.9285714285714286
305,PM,youtube,pre,0.9285714285714286
306,PM,youtube,pre,1.0
307,PM,youtube,pre,0.9285714285714286
308,PM,youtube,pre,0.9285714285714286
309,PM,youtube,pre,0.9230769230769231
310,PM,youtube,pre,0.8571428571428571
311,PM,youtube,pre,0.9285714285714286
312,PM,youtube,pre,0.9285714285714286
313,PM,youtube,pre,0.23076923076923078
314,PM,youtube,pre,0.7692307692307693
315,PM,youtube,pre,0.6428571428571429
401,PM,twitter,pre,0.9230769230769231
402,PM,twitter,pre,0.8571428571428571
403,PM,twitter,pre,0.7857142857142857
404,PM,twitter,pre,0.9285714285714286
405,PM,twitter,pre,0.9285714285714286
406,PM,twitter,pre,0.8571428571428571
407,PM,twitter,pre,0.8571428571428571
408,PM,twitter,pre,0.9285714285714286
409,PM,twitter,pre,0.8571428571428571
410,PM,twitter,pre,0.9285714285714286
411,PM,twitter,pre,0.8461538461538461
412,PM,twitter,pre,0.7857142857142857
413,PM,twitter,pre,0.7857142857142857
414,PM,twitter,pre,0.9285714285714286
415,PM,twitter,pre,0.7857142857142857
101,PM,rest,post,1.0
102,PM,rest,post,1.0
103,PM,rest,post,1.0
104,PM,rest,post,1.0
105,PM,rest,post,1.0
106,PM,rest,post,0.9285714285714286
107,PM,rest,post,1.0
108,PM,rest,post,1.0
109,PM,rest,post,1.0
110,PM,rest,post,0.9090909090909091
111,PM,rest,post,1.0
112,PM,rest,post,0.9285714285714286
113,PM,rest,post,1.0
114,PM,rest,post,0.38461538461538464
115,PM,rest,post,1.0
201,PM,tiktok,post,0.42857142857142855
202,PM,tiktok,post,0.7142857142857143
203,PM,tiktok,post,0.5384615384615384
204,PM,tiktok,post,0.6428571428571429
205,PM,tiktok,post,0.5
206,PM,tiktok,post,0.2857142857142857
207,PM,tiktok,post,0.6428571428571429
208,PM,tiktok,post,0.5714285714285714
209,PM,tiktok,post,0.2857142857142857
210,PM,tiktok,post,0.2857142857142857
211,PM,tiktok,post,0.2727272727272727
212,PM,tiktok,post,0.5384615384615384
213,PM,tiktok,post,0.2857142857142857
214,PM,tiktok,post,0.38461538461538464
215,PM,tiktok,post,0.9285714285714286
301,PM,youtube,post,1.0
302,PM,youtube,post,0.6428571428571429
303,PM,youtube,post,0.21428571428571427
304,PM,youtube,post,1.0
305,PM,youtube,post,1.0
306,PM,youtube,post,1.0
307,PM,youtube,post,1.0
308,PM,youtube,post,0.35714285714285715
309,PM,youtube,post,1.0
310,PM,youtube,post,1.0
311,PM,youtube,post,1.0
312,PM,youtube,post,1.0
313,PM,youtube,post,0.35714285714285715
314,PM,youtube,post,1.0
315,PM,youtube,post,0.8571428571428571
401,PM,twitter,post,1.0
402,PM,twitter,post,1.0
403,PM,twitter,post,1.0
404,PM,twitter,post,0.9285714285714286
405,PM,twitter,post,1.0
406,PM,twitter,post,0.9285714285714286
407,PM,twitter,post,0.9285714285714286
408,PM,twitter,post,1.0
409,PM,twitter,post,1.0
410,PM,twitter,post,1.0
411,PM,twitter,post,0.9285714285714286
412,PM,twitter,post,1.0
413,PM,twitter,post,1.0
414,PM,twitter,post,1.0
415,PM,twitter,post,0.9285714285714286
